nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
        74, 3.000000109E-01,-2.346500038E-08, 8.320274889E-03, 1.826928761E+00
        75, 4.499999767E-01,-2.346500000E-08, 8.320274765E-03, 1.737240341E+00
        76, 7.499999865E-01,-2.346500000E-08, 8.320274765E-03, 1.482378636E+00
        77, 1.049999957E+00,-2.346499756E-08, 8.320274765E-03, 1.342669219E+00
        78, 1.499999992E+00,-2.346499963E-08, 8.320274765E-03, 1.305821547E+00
        79, 2.099999885E+00,-2.346499957E-08, 8.320274765E-03, 1.308134282E+00
        80, 3.000000046E+00,-2.346500026E-08, 8.320274827E-03, 1.315150558E+00
        81,-1.500000025E-01,-2.346499996E-08, 1.005136337E-02, 1.467825035E+00
        82, 3.000000109E-01,-2.346500038E-08, 1.005136351E-02, 1.857947705E+00
        83, 4.499999767E-01,-2.346500000E-08, 1.005136336E-02, 1.770446765E+00
        84, 7.499999865E-01,-2.346500000E-08, 1.005136336E-02, 1.531216916E+00
        85, 1.049999957E+00,-2.346499757E-08, 1.005136336E-02, 1.389378168E+00
        86, 1.499999992E+00,-2.346499963E-08, 1.005136336E-02, 1.348913972E+00
        87, 2.099999885E+00,-2.346499958E-08, 1.005136336E-02, 1.352842991E+00
        88, 3.000000046E+00,-2.346500026E-08, 1.005136343E-02, 1.361510133E+00
        89,-1.500000025E-01,-2.346499996E-08, 1.203858814E-02, 1.520576230E+00
        90, 3.000000109E-01,-2.346500038E-08, 1.203858831E-02, 1.888381497E+00
        91, 4.499999767E-01,-2.346500000E-08, 1.203858813E-02, 1.799361408E+00
        92, 7.499999865E-01,-2.346500000E-08, 1.203858813E-02, 1.576919920E+00
        93, 1.049999957E+00,-2.346499757E-08, 1.203858813E-02, 1.435250199E+00
        94, 1.499999992E+00,-2.346499963E-08, 1.203858813E-02, 1.390698072E+00
        95, 2.099999885E+00,-2.346499958E-08, 1.203858813E-02, 1.396145740E+00
        96, 3.000000046E+00,-2.346500026E-08, 1.203858822E-02, 1.406888977E+00
        97,-1.500000026E-01,-2.346499996E-08, 1.431984764E-02, 1.572093210E+00
        98, 3.000000109E-01,-2.346500038E-08, 1.431984784E-02, 1.916946194E+00
        99, 4.499999767E-01,-2.346500000E-08, 1.431984763E-02, 1.823618967E+00
       100, 7.499999865E-01,-2.346500000E-08, 1.431984763E-02, 1.618856309E+00
       101, 1.049999957E+00,-2.346499757E-08, 1.431984763E-02, 1.480479900E+00
       102, 1.499999992E+00,-2.346499963E-08, 1.431984763E-02, 1.431676009E+00
       103, 2.099999885E+00,-2.346499957E-08, 1.431984763E-02, 1.438410732E+00
       104, 3.000000046E+00,-2.346500026E-08, 1.431984774E-02, 1.451655911E+00
       105,-1.500000027E-01,-2.346499996E-08, 1.693864799E-02, 1.622401793E+00
       106, 3.000000109E-01,-2.346500038E-08, 1.693864822E-02, 1.939596476E+00
       107, 4.499999767E-01,-2.346500000E-08, 1.693864797E-02, 1.841362229E+00
       108, 7.499999865E-01,-2.346500000E-08, 1.693864797E-02, 1.655797116E+00
       109, 1.049999957E+00,-2.346499757E-08, 1.693864797E-02, 1.524841438E+00
       110, 1.499999992E+00,-2.346499964E-08, 1.693864797E-02, 1.472234658E+00
       111, 2.099999885E+00,-2.346499958E-08, 1.693864797E-02, 1.479915525E+00
       112, 3.000000046E+00,-2.346500026E-08, 1.693864809E-02, 1.496052441E+00
       113,-1.500000028E-01,-2.346499997E-08, 1.994493255E-02, 1.671490744E+00
       114, 3.000000109E-01,-2.346500038E-08, 1.994493283E-02, 1.949529554E+00
       115, 4.499999767E-01,-2.346500000E-08, 1.994493253E-02, 1.849078414E+00
       116, 7.499999865E-01,-2.346500000E-08, 1.994493253E-02, 1.686007144E+00
       117, 1.049999957E+00,-2.346499756E-08, 1.994493253E-02, 1.567605423E+00
       118, 1.499999992E+00,-2.346499964E-08, 1.994493253E-02, 1.512640236E+00
       119, 2.099999885E+00,-2.346499959E-08, 1.994493253E-02, 1.520894911E+00
       120, 3.000000046E+00,-2.346500026E-08, 1.994493268E-02, 1.540237214E+00
       121,-1.500000029E-01,-2.346499996E-08, 2.339603447E-02, 1.719364235E+00
       122, 3.000000109E-01,-2.346500038E-08, 2.339603480E-02, 1.938241555E+00
       123, 4.499999767E-01,-2.346500001E-08, 2.339603445E-02, 1.842226355E+00
       124, 7.499999865E-01,-2.346500000E-08, 2.339603445E-02, 1.707702754E+00
       125, 1.049999957E+00,-2.346499757E-08, 2.339603445E-02, 1.607498319E+00
       126, 1.499999992E+00,-2.346499962E-08, 2.339603445E-02, 1.552992539E+00
       127, 2.099999885E+00,-2.346499957E-08, 2.339603445E-02, 1.561564507E+00
