nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 5.019638603E-01
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 1.206165941E+00
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 9.106471659E-01
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 6.788298210E-01
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 6.549070414E-01
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 6.424150136E-01
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 6.376280372E-01
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 6.327356661E-01
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 7.166563650E-01
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 1.418300085E+00
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 1.114695479E+00
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 8.792051139E-01
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 8.605458322E-01
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 8.532918501E-01
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 8.505830733E-01
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 8.463253402E-01
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 8.590644871E-01
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 1.550988534E+00
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 1.237867417E+00
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 9.935760805E-01
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 9.828789982E-01
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 9.854736622E-01
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 9.877054617E-01
        24, 3.000000046E+00,-2.346500025E-08, 1.073981270E-03, 9.848695602E-01
        25,-1.500000022E-01,-2.346499996E-08, 1.732890214E-03, 9.675214898E-01
        26, 3.000000109E-01,-2.346500038E-08, 1.732890238E-03, 1.644473664E+00
        27, 4.499999767E-01,-2.346500000E-08, 1.732890212E-03, 1.331063107E+00
        28, 7.499999865E-01,-2.346500000E-08, 1.732890212E-03, 1.075640465E+00
        29, 1.049999957E+00,-2.346499756E-08, 1.732890212E-03, 1.069472505E+00
        30, 1.499999992E+00,-2.346499963E-08, 1.732890212E-03, 1.080841664E+00
        31, 2.099999885E+00,-2.346499958E-08, 1.732890212E-03, 1.088589478E+00
        32, 3.000000046E+00,-2.346500026E-08, 1.732890225E-03, 1.087743589E+00
        33,-1.500000022E-01,-2.346499995E-08, 2.489292976E-03, 1.055944808E+00
        34, 3.000000109E-01,-2.346500035E-08, 2.489293010E-03, 1.713151650E+00
        35, 4.499999767E-01,-2.346499999E-08, 2.489292973E-03, 1.407248617E+00
        36, 7.499999865E-01,-2.346499999E-08, 2.489292973E-03, 1.139815313E+00
        37, 1.049999957E+00,-2.346499758E-08, 2.489292973E-03, 1.135404953E+00
        38, 1.499999992E+00,-2.346499962E-08, 2.489292973E-03, 1.154180164E+00
        39, 2.099999885E+00,-2.346499958E-08, 2.489292973E-03, 1.167603509E+00
        40, 3.000000046E+00,-2.346500025E-08, 2.489292992E-03, 1.169249329E+00
        41,-1.500000023E-01,-2.346499995E-08, 3.357614975E-03, 1.131891358E+00
        42, 3.000000109E-01,-2.346500036E-08, 3.357615021E-03, 1.765004190E+00
        43, 4.499999767E-01,-2.346500000E-08, 3.357614971E-03, 1.472544269E+00
        44, 7.499999865E-01,-2.346500000E-08, 3.357614971E-03, 1.193280002E+00
        45, 1.049999957E+00,-2.346499755E-08, 3.357614971E-03, 1.188306471E+00
        46, 1.499999992E+00,-2.346499961E-08, 3.357614971E-03, 1.213287999E+00
        47, 2.099999885E+00,-2.346499958E-08, 3.357614971E-03, 1.232429380E+00
