nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 5.457096699E-01
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 1.019849015E+00
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 8.787967554E-01
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 6.243733818E-01
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 5.258528931E-01
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 4.943822645E-01
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 4.875613359E-01
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 4.921826886E-01
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 7.606545337E-01
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 1.239096110E+00
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 1.098849731E+00
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 8.398293165E-01
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 7.389735056E-01
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 7.074292010E-01
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 7.006967528E-01
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 7.051668673E-01
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 9.030792255E-01
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 1.387263175E+00
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 1.250220705E+00
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 9.831620302E-01
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 8.771465027E-01
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 8.451558984E-01
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 8.386409963E-01
        24, 3.000000046E+00,-2.346500025E-08, 1.073981270E-03, 8.427910441E-01
        25,-1.500000022E-01,-2.346499996E-08, 1.732890214E-03, 1.011105269E+00
        26, 3.000000109E-01,-2.346500038E-08, 1.732890238E-03, 1.496874739E+00
        27, 4.499999767E-01,-2.346500000E-08, 1.732890212E-03, 1.365503885E+00
        28, 7.499999865E-01,-2.346500000E-08, 1.732890212E-03, 1.092210134E+00
        29, 1.049999957E+00,-2.346499756E-08, 1.732890212E-03, 9.803818798E-01
        30, 1.499999992E+00,-2.346499963E-08, 1.732890212E-03, 9.475249384E-01
        31, 2.099999885E+00,-2.346499958E-08, 1.732890212E-03, 9.413127866E-01
        32, 3.000000046E+00,-2.346500026E-08, 1.732890225E-03, 9.451455313E-01
        33,-1.500000022E-01,-2.346499995E-08, 2.489292976E-03, 1.098734304E+00
        34, 3.000000109E-01,-2.346500035E-08, 2.489293010E-03, 1.580926613E+00
        35, 4.499999767E-01,-2.346499999E-08, 2.489292973E-03, 1.457073768E+00
        36, 7.499999865E-01,-2.346499999E-08, 2.489292973E-03, 1.180426748E+00
        37, 1.049999957E+00,-2.346499758E-08, 2.489292973E-03, 1.062734415E+00
        38, 1.499999992E+00,-2.346499962E-08, 2.489292973E-03, 1.028723677E+00
        39, 2.099999885E+00,-2.346499958E-08, 2.489292973E-03, 1.022943697E+00
        40, 3.000000046E+00,-2.346500025E-08, 2.489292992E-03, 1.026550663E+00
        41,-1.500000023E-01,-2.346499995E-08, 3.357614975E-03, 1.173622041E+00
        42, 3.000000109E-01,-2.346500036E-08, 3.357615021E-03, 1.646956763E+00
        43, 4.499999767E-01,-2.346500000E-08, 3.357614971E-03, 1.531879400E+00
        44, 7.499999865E-01,-2.346500000E-08, 3.357614971E-03, 1.255159096E+00
        45, 1.049999957E+00,-2.346499755E-08, 3.357614971E-03, 1.131811867E+00
        46, 1.499999992E+00,-2.346499961E-08, 3.357614971E-03, 1.096408550E+00
        47, 2.099999885E+00,-2.346499958E-08, 3.357614971E-03, 1.091212846E+00
        48, 3.000000046E+00,-2.346500026E-08, 3.357614996E-03, 1.094743006E+00
        49,-1.500000023E-01,-2.346499996E-08, 4.354416060E-03, 1.240373686E+00
        50, 3.000000109E-01,-2.346500038E-08, 4.354416120E-03, 1.699845878E+00
        51, 4.499999767E-01,-2.346500000E-08, 4.354416055E-03, 1.594067734E+00
        52, 7.499999865E-01,-2.346500000E-08, 4.354416055E-03, 1.320782894E+00
        53, 1.049999957E+00,-2.346499756E-08, 4.354416055E-03, 1.192194717E+00
        54, 1.499999992E+00,-2.346499963E-08, 4.354416055E-03, 1.155164091E+00
        55, 2.099999885E+00,-2.346499958E-08, 4.354416055E-03, 1.150729484E+00
        56, 3.000000046E+00,-2.346500026E-08, 4.354416087E-03, 1.154384189E+00
        57,-1.500000023E-01,-2.346499995E-08, 5.498706317E-03, 1.301874541E+00
        58, 3.000000109E-01,-2.346500038E-08, 5.498706393E-03, 1.743228662E+00
        59, 4.499999767E-01,-2.346500000E-08, 5.498706311E-03, 1.646363045E+00
        60, 7.499999865E-01,-2.346500000E-08, 5.498706311E-03, 1.380020402E+00
        61, 1.049999957E+00,-2.346499757E-08, 5.498706311E-03, 1.246818509E+00
        62, 1.499999992E+00,-2.346499963E-08, 5.498706311E-03, 1.207898691E+00
        63, 2.099999885E+00,-2.346499958E-08, 5.498706311E-03, 1.204415045E+00
        64, 3.000000046E+00,-2.346500026E-08, 5.498706352E-03, 1.208448968E+00
        65,-1.500000024E-01,-2.346499995E-08, 6.812308611E-03, 1.359938539E+00
        66, 3.000000109E-01,-2.346500038E-08, 6.812308705E-03, 1.780159161E+00
        67, 4.499999767E-01,-2.346500000E-08, 6.812308604E-03, 1.690806796E+00
        68, 7.499999865E-01,-2.346500000E-08, 6.812308604E-03, 1.434580584E+00
        69, 1.049999957E+00,-2.346499757E-08, 6.812308604E-03, 1.297631537E+00
        70, 1.499999992E+00,-2.346499963E-08, 6.812308604E-03, 1.256512484E+00
        71, 2.099999885E+00,-2.346499958E-08, 6.812308604E-03, 1.254162181E+00
        72, 3.000000046E+00,-2.346500026E-08, 6.812308654E-03, 1.258883888E+00
        73,-1.500000024E-01,-2.346499995E-08, 8.320274774E-03, 1.415674777E+00
        74, 3.000000109E-01,-2.346500038E-08, 8.320274889E-03, 1.813332657E+00
        75, 4.499999767E-01,-2.346500000E-08, 8.320274765E-03, 1.729095248E+00
        76, 7.499999865E-01,-2.346500000E-08, 8.320274765E-03, 1.485490227E+00
        77, 1.049999957E+00,-2.346499756E-08, 8.320274765E-03, 1.345950689E+00
        78, 1.499999992E+00,-2.346499963E-08, 8.320274765E-03, 1.302272827E+00
        79, 2.099999885E+00,-2.346499957E-08, 8.320274765E-03, 1.301203774E+00
        80, 3.000000046E+00,-2.346500026E-08, 8.320274827E-03, 1.306972979E+00
        81,-1.500000025E-01,-2.346499996E-08, 1.005136337E-02, 1.469721045E+00
        82, 3.000000109E-01,-2.346500038E-08, 1.005136351E-02, 1.844920492E+00
        83, 4.499999767E-01,-2.346500000E-08, 1.005136336E-02, 1.762565643E+00
        84, 7.499999865E-01,-2.346500000E-08, 1.005136336E-02, 1.533241136E+00
        85, 1.049999957E+00,-2.346499757E-08, 1.005136336E-02, 1.392655942E+00
        86, 1.499999992E+00,-2.346499963E-08, 1.005136336E-02, 1.346047677E+00
        87, 2.099999885E+00,-2.346499958E-08, 1.005136336E-02, 1.346342975E+00
        88, 3.000000046E+00,-2.346500026E-08, 1.005136343E-02, 1.353562314E+00
        89,-1.500000025E-01,-2.346499996E-08, 1.203858814E-02, 1.522404386E+00
        90, 3.000000109E-01,-2.346500038E-08, 1.203858831E-02, 1.875975216E+00
        91, 4.499999767E-01,-2.346500000E-08, 1.203858813E-02, 1.791893827E+00
        92, 7.499999865E-01,-2.346500000E-08, 1.203858813E-02, 1.577808584E+00
        93, 1.049999957E+00,-2.346499757E-08, 1.203858813E-02, 1.438274552E+00
        94, 1.499999992E+00,-2.346499963E-08, 1.203858813E-02, 1.388455175E+00
        95, 2.099999885E+00,-2.346499958E-08, 1.203858813E-02, 1.390106612E+00
        96, 3.000000046E+00,-2.346500026E-08, 1.203858822E-02, 1.399206218E+00
        97,-1.500000026E-01,-2.346499996E-08, 1.431984764E-02, 1.573857566E+00
        98, 3.000000109E-01,-2.346500038E-08, 1.431984784E-02, 1.905466515E+00
        99, 4.499999767E-01,-2.346500000E-08, 1.431984763E-02, 1.816685694E+00
       100, 7.499999865E-01,-2.346500000E-08, 1.431984763E-02, 1.618592852E+00
       101, 1.049999957E+00,-2.346499757E-08, 1.431984763E-02, 1.482979364E+00
       102, 1.499999992E+00,-2.346499963E-08, 1.431984763E-02, 1.429953793E+00
       103, 2.099999885E+00,-2.346499957E-08, 1.431984763E-02, 1.432851178E+00
       104, 3.000000046E+00,-2.346500026E-08, 1.431984774E-02, 1.444265270E+00
       105,-1.500000027E-01,-2.346499996E-08, 1.693864799E-02, 1.624107406E+00
       106, 3.000000109E-01,-2.346500038E-08, 1.693864822E-02, 1.929583488E+00
       107, 4.499999767E-01,-2.346500000E-08, 1.693864797E-02, 1.835063085E+00
       108, 7.499999865E-01,-2.346500000E-08, 1.693864797E-02, 1.654363211E+00
       109, 1.049999957E+00,-2.346499757E-08, 1.693864797E-02, 1.526526449E+00
       110, 1.499999992E+00,-2.346499964E-08, 1.693864797E-02, 1.470883505E+00
       111, 2.099999885E+00,-2.346499958E-08, 1.693864797E-02, 1.474836309E+00
       112, 3.000000046E+00,-2.346500026E-08, 1.693864809E-02, 1.488972949E+00
       113,-1.500000028E-01,-2.346499997E-08, 1.994493255E-02, 1.673143414E+00
       114, 3.000000109E-01,-2.346500038E-08, 1.994493283E-02, 1.941585166E+00
       115, 4.499999767E-01,-2.346500000E-08, 1.994493253E-02, 1.843476761E+00
       116, 7.499999865E-01,-2.346500000E-08, 1.994493253E-02, 1.683345614E+00
       117, 1.049999957E+00,-2.346499756E-08, 1.994493253E-02, 1.568173804E+00
       118, 1.499999992E+00,-2.346499964E-08, 1.994493253E-02, 1.511462753E+00
       119, 2.099999885E+00,-2.346499959E-08, 1.994493253E-02, 1.516272882E+00
       120, 3.000000046E+00,-2.346500026E-08, 1.994493268E-02, 1.533481230E+00
       121,-1.500000029E-01,-2.346499996E-08, 2.339603447E-02, 1.720970287E+00
       122, 3.000000109E-01,-2.346500038E-08, 2.339603480E-02, 1.932771105E+00
       123, 4.499999767E-01,-2.346500001E-08, 2.339603445E-02, 1.837235804E+00
       124, 7.499999865E-01,-2.346500000E-08, 2.339603445E-02, 1.703729226E+00
       125, 1.049999957E+00,-2.346499757E-08, 2.339603445E-02, 1.606647292E+00
       126, 1.499999992E+00,-2.346499962E-08, 2.339603445E-02, 1.551746833E+00
       127, 2.099999885E+00,-2.346499957E-08, 2.339603445E-02, 1.557348082E+00
       128, 3.000000046E+00,-2.346500025E-08, 2.339603462E-02, 1.577891787E+00
       129,-1.500000030E-01,-2.346499996E-08, 2.735777003E-02, 1.767644733E+00
       130, 3.000000109E-01,-2.346500038E-08, 2.735777041E-02, 1.892584319E+00
       131, 4.499999767E-01,-2.346500001E-08, 2.735777000E-02, 1.811306874E+00
       132, 7.499999865E-01,-2.346500000E-08, 2.735777000E-02, 1.713837751E+00
       133, 1.049999957E+00,-2.346499757E-08, 2.735777000E-02, 1.640237943E+00
       134, 1.499999992E+00,-2.346499962E-08, 2.735777000E-02, 1.591561405E+00
       135, 2.099999885E+00,-2.346499957E-08, 2.735777000E-02, 1.598227343E+00
       136, 3.000000046E+00,-2.346500025E-08, 2.735777021E-02, 1.622277304E+00
       137,-1.500000031E-01,-2.346499995E-08, 3.190569386E-02, 1.813293920E+00
       138, 3.000000109E-01,-2.346500037E-08, 3.190569430E-02, 1.810265074E+00
       139, 4.499999767E-01,-2.346500001E-08, 3.190569382E-02, 1.761036871E+00
       140, 7.499999865E-01,-2.346500001E-08, 3.190569382E-02, 1.711823868E+00
       141, 1.049999957E+00,-2.346499757E-08, 3.190569382E-02, 1.667108172E+00
       142, 1.499999992E+00,-2.346499962E-08, 3.190569382E-02, 1.630438024E+00
       143, 2.099999885E+00,-2.346499955E-08, 3.190569382E-02, 1.639034085E+00
       144, 3.000000046E+00,-2.346500024E-08, 3.190569406E-02, 1.666696557E+00
       145,-1.500000033E-01,-2.346499996E-08, 3.712653982E-02, 1.858112773E+00
       146, 3.000000109E-01,-2.346500039E-08, 3.712654033E-02, 1.684189932E+00
       147, 4.499999767E-01,-2.346500001E-08, 3.712653978E-02, 1.684328604E+00
       148, 7.499999865E-01,-2.346500001E-08, 3.712653978E-02, 1.696173552E+00
       149, 1.049999957E+00,-2.346499758E-08, 3.712653978E-02, 1.685783300E+00
       150, 1.499999992E+00,-2.346499962E-08, 3.712653978E-02, 1.667592651E+00
       151, 2.099999885E+00,-2.346499956E-08, 3.712653978E-02, 1.679813874E+00
       152, 3.000000046E+00,-2.346500025E-08, 3.712654005E-02, 1.711207032E+00
       153,-1.500000034E-01,-2.346499996E-08, 4.311987516E-02, 1.902342410E+00
       154, 3.000000109E-01,-2.346500038E-08, 4.311987575E-02, 1.528846407E+00
       155, 4.499999767E-01,-2.346500001E-08, 4.311987511E-02, 1.584585462E+00
       156, 7.499999865E-01,-2.346500001E-08, 4.311987511E-02, 1.666270316E+00
       157, 1.049999957E+00,-2.346499758E-08, 4.311987511E-02, 1.695518914E+00
       158, 1.499999992E+00,-2.346499963E-08, 4.311987511E-02, 1.701990575E+00
       159, 2.099999885E+00,-2.346499956E-08, 4.311987511E-02, 1.720498484E+00
       160, 3.000000046E+00,-2.346500025E-08, 4.311987543E-02, 1.755879342E+00
       161,-1.500000037E-01,-2.346499997E-08, 4.999999933E-02, 1.946244913E+00
       162, 3.000000109E-01,-2.346500038E-08, 5.000000002E-02, 1.369669217E+00
       163, 4.499999767E-01,-2.346500001E-08, 4.999999927E-02, 1.470421452E+00
       164, 7.499999865E-01,-2.346500001E-08, 4.999999927E-02, 1.622760215E+00
       165, 1.049999957E+00,-2.346499757E-08, 4.999999927E-02, 1.696069081E+00
       166, 1.499999992E+00,-2.346499963E-08, 4.999999927E-02, 1.732558352E+00
       167, 2.099999885E+00,-2.346499957E-08, 4.999999927E-02, 1.760904982E+00
       168, 3.000000046E+00,-2.346500025E-08, 4.999999964E-02, 1.800822253E+00
       169,-1.500000037E-01,-2.346499995E-08, 5.749999923E-02, 1.987940461E+00
       170, 3.000000109E-01,-2.346500035E-08, 5.750000002E-02, 1.236370586E+00
       171, 4.499999767E-01,-2.346499998E-08, 5.749999916E-02, 1.357629163E+00
       172, 7.499999865E-01,-2.346500000E-08, 5.749999916E-02, 1.570662045E+00
       173, 1.049999957E+00,-2.346499769E-08, 5.749999916E-02, 1.687958573E+00
       174, 1.499999992E+00,-2.346499965E-08, 5.749999916E-02, 1.757291693E+00
       175, 2.099999885E+00,-2.346499962E-08, 5.749999916E-02, 1.798821851E+00
       176, 3.000000046E+00,-2.346500029E-08, 5.749999959E-02, 1.843947843E+00
       177,-1.500000037E-01,-2.346499992E-08, 6.499999913E-02, 2.024667559E+00
       178, 3.000000109E-01,-2.346500037E-08, 6.500000002E-02, 1.142144953E+00
       179, 4.499999767E-01,-2.346500000E-08, 6.499999905E-02, 1.261035807E+00
       180, 7.499999865E-01,-2.346500001E-08, 6.499999905E-02, 1.518385294E+00
