nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,turb-kinetic-energy
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 2.872743253E-02
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 2.816262601E-02
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 2.967979840E-02
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 2.984482082E-02
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 2.908535820E-02
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 2.864865696E-02
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 2.851705589E-02
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 2.853321114E-02
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 3.377210957E-02
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 3.219521480E-02
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 3.622880109E-02
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 3.660896007E-02
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 3.464901514E-02
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 3.350734485E-02
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 3.320481162E-02
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 3.320075346E-02
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 4.224550210E-02
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 3.933118014E-02
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 4.727670170E-02
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 4.792672883E-02
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 4.407845842E-02
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 4.179834577E-02
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 4.117175434E-02
        24, 3.000000046E+00,-2.346500025E-08, 1.073981270E-03, 4.112778998E-02
        25,-1.500000022E-01,-2.346499996E-08, 1.732890214E-03, 4.667500785E-02
        26, 3.000000109E-01,-2.346500038E-08, 1.732890238E-03, 4.368412363E-02
        27, 4.499999767E-01,-2.346500000E-08, 1.732890212E-03, 5.354723283E-02
        28, 7.499999865E-01,-2.346500000E-08, 1.732890212E-03, 5.425428932E-02
        29, 1.049999957E+00,-2.346499756E-08, 1.732890212E-03, 4.937313400E-02
        30, 1.499999992E+00,-2.346499963E-08, 1.732890212E-03, 4.638132355E-02
        31, 2.099999885E+00,-2.346499958E-08, 1.732890212E-03, 4.547461269E-02
        32, 3.000000046E+00,-2.346500026E-08, 1.732890225E-03, 4.538658986E-02
        33,-1.500000022E-01,-2.346499995E-08, 2.489292976E-03, 4.893642250E-02
        34, 3.000000109E-01,-2.346500035E-08, 2.489293010E-03, 4.653473624E-02
        35, 4.499999767E-01,-2.346499999E-08, 2.489292973E-03, 5.781861966E-02
        36, 7.499999865E-01,-2.346499999E-08, 2.489292973E-03, 5.857774557E-02
        37, 1.049999957E+00,-2.346499758E-08, 2.489292973E-03, 5.275515095E-02
        38, 1.499999992E+00,-2.346499962E-08, 2.489292973E-03, 4.901910429E-02
        39, 2.099999885E+00,-2.346499958E-08, 2.489292973E-03, 4.779423746E-02
        40, 3.000000046E+00,-2.346500025E-08, 2.489292992E-03, 4.763397424E-02
        41,-1.500000023E-01,-2.346499995E-08, 3.357614975E-03, 5.009930630E-02
        42, 3.000000109E-01,-2.346500036E-08, 3.357615021E-03, 4.896988158E-02
        43, 4.499999767E-01,-2.346500000E-08, 3.357614971E-03, 6.132868723E-02
        44, 7.499999865E-01,-2.346500000E-08, 3.357614971E-03, 6.208416985E-02
        45, 1.049999957E+00,-2.346499755E-08, 3.357614971E-03, 5.535723961E-02
        46, 1.499999992E+00,-2.346499961E-08, 3.357614971E-03, 5.082366315E-02
        47, 2.099999885E+00,-2.346499958E-08, 3.357614971E-03, 4.921218139E-02
        48, 3.000000046E+00,-2.346500026E-08, 3.357614996E-03, 4.893639040E-02
        49,-1.500000023E-01,-2.346499996E-08, 4.354416060E-03, 5.060408847E-02
        50, 3.000000109E-01,-2.346500038E-08, 4.354416120E-03, 5.142583725E-02
        51, 4.499999767E-01,-2.346500000E-08, 4.354416055E-03, 6.457754598E-02
        52, 7.499999865E-01,-2.346500000E-08, 4.354416055E-03, 6.520682156E-02
        53, 1.049999957E+00,-2.346499756E-08, 4.354416055E-03, 5.760871689E-02
        54, 1.499999992E+00,-2.346499963E-08, 4.354416055E-03, 5.223773882E-02
        55, 2.099999885E+00,-2.346499958E-08, 4.354416055E-03, 5.017497005E-02
        56, 3.000000046E+00,-2.346500026E-08, 4.354416087E-03, 4.973442658E-02
        57,-1.500000023E-01,-2.346499995E-08, 5.498706317E-03, 5.066478138E-02
        58, 3.000000109E-01,-2.346500038E-08, 5.498706393E-03, 5.411251547E-02
        59, 4.499999767E-01,-2.346500000E-08, 5.498706311E-03, 6.784040968E-02
        60, 7.499999865E-01,-2.346500000E-08, 5.498706311E-03, 6.814733057E-02
        61, 1.049999957E+00,-2.346499757E-08, 5.498706311E-03, 5.970926786E-02
        62, 1.499999992E+00,-2.346499963E-08, 5.498706311E-03, 5.347603921E-02
        63, 2.099999885E+00,-2.346499958E-08, 5.498706311E-03, 5.090649497E-02
        64, 3.000000046E+00,-2.346500026E-08, 5.498706352E-03, 5.024691748E-02
        65,-1.500000024E-01,-2.346499995E-08, 6.812308611E-03, 5.039846729E-02
        66, 3.000000109E-01,-2.346500038E-08, 6.812308705E-03, 5.716152560E-02
        67, 4.499999767E-01,-2.346500000E-08, 6.812308604E-03, 7.130760706E-02
        68, 7.499999865E-01,-2.346500000E-08, 6.812308604E-03, 7.101882756E-02
        69, 1.049999957E+00,-2.346499757E-08, 6.812308604E-03, 6.176337641E-02
        70, 1.499999992E+00,-2.346499963E-08, 6.812308604E-03, 5.465545878E-02
        71, 2.099999885E+00,-2.346499958E-08, 6.812308604E-03, 5.153285275E-02
        72, 3.000000046E+00,-2.346500026E-08, 6.812308654E-03, 5.059576902E-02
        73,-1.500000024E-01,-2.346499995E-08, 8.320274774E-03, 4.987471849E-02
        74, 3.000000109E-01,-2.346500038E-08, 8.320274889E-03, 6.069351230E-02
        75, 4.499999767E-01,-2.346500000E-08, 8.320274765E-03, 7.513453857E-02
        76, 7.499999865E-01,-2.346500000E-08, 8.320274765E-03, 7.389625921E-02
        77, 1.049999957E+00,-2.346499756E-08, 8.320274765E-03, 6.382879925E-02
        78, 1.499999992E+00,-2.346499963E-08, 8.320274765E-03, 5.584405749E-02
        79, 2.099999885E+00,-2.346499957E-08, 8.320274765E-03, 5.213114955E-02
        80, 3.000000046E+00,-2.346500026E-08, 8.320274827E-03, 5.085481146E-02
        81,-1.500000025E-01,-2.346499996E-08, 1.005136337E-02, 4.913936179E-02
        82, 3.000000109E-01,-2.346500038E-08, 1.005136351E-02, 6.485377284E-02
        83, 4.499999767E-01,-2.346500000E-08, 1.005136336E-02, 7.946335621E-02
        84, 7.499999865E-01,-2.346500000E-08, 1.005136336E-02, 7.684188423E-02
        85, 1.049999957E+00,-2.346499757E-08, 1.005136336E-02, 6.593842992E-02
        86, 1.499999992E+00,-2.346499963E-08, 1.005136336E-02, 5.708251534E-02
        87, 2.099999885E+00,-2.346499958E-08, 1.005136336E-02, 5.275160292E-02
        88, 3.000000046E+00,-2.346500026E-08, 1.005136343E-02, 5.107258658E-02
        89,-1.500000025E-01,-2.346499996E-08, 1.203858814E-02, 4.822711671E-02
        90, 3.000000109E-01,-2.346500038E-08, 1.203858831E-02, 6.982625137E-02
        91, 4.499999767E-01,-2.346500000E-08, 1.203858813E-02, 8.443157161E-02
        92, 7.499999865E-01,-2.346500000E-08, 1.203858813E-02, 7.992071081E-02
        93, 1.049999957E+00,-2.346499757E-08, 1.203858813E-02, 6.811235062E-02
        94, 1.499999992E+00,-2.346499963E-08, 1.203858813E-02, 5.839474861E-02
        95, 2.099999885E+00,-2.346499958E-08, 1.203858813E-02, 5.342871103E-02
        96, 3.000000046E+00,-2.346500026E-08, 1.203858822E-02, 5.128425160E-02
        97,-1.500000026E-01,-2.346499996E-08, 1.431984764E-02, 4.716793641E-02
        98, 3.000000109E-01,-2.346500038E-08, 1.431984784E-02, 7.582130885E-02
        99, 4.499999767E-01,-2.346500000E-08, 1.431984763E-02, 9.016962079E-02
       100, 7.499999865E-01,-2.346500000E-08, 1.431984763E-02, 8.320953668E-02
       101, 1.049999957E+00,-2.346499757E-08, 1.431984763E-02, 7.036571262E-02
       102, 1.499999992E+00,-2.346499963E-08, 1.431984763E-02, 5.979429056E-02
       103, 2.099999885E+00,-2.346499957E-08, 1.431984763E-02, 5.418686020E-02
       104, 3.000000046E+00,-2.346500026E-08, 1.431984774E-02, 5.151757495E-02
       105,-1.500000027E-01,-2.346499996E-08, 1.693864799E-02, 4.598947657E-02
       106, 3.000000109E-01,-2.346500038E-08, 1.693864822E-02, 8.302557176E-02
       107, 4.499999767E-01,-2.346500000E-08, 1.693864797E-02, 9.678586757E-02
       108, 7.499999865E-01,-2.346500000E-08, 1.693864797E-02, 8.680003495E-02
       109, 1.049999957E+00,-2.346499757E-08, 1.693864797E-02, 7.271475704E-02
       110, 1.499999992E+00,-2.346499964E-08, 1.693864797E-02, 6.128786566E-02
       111, 2.099999885E+00,-2.346499958E-08, 1.693864797E-02, 5.504307834E-02
       112, 3.000000046E+00,-2.346500026E-08, 1.693864809E-02, 5.179569067E-02
       113,-1.500000028E-01,-2.346499997E-08, 1.994493255E-02, 4.471696500E-02
       114, 3.000000109E-01,-2.346500038E-08, 1.994493283E-02, 9.150370920E-02
       115, 4.499999767E-01,-2.346500000E-08, 1.994493253E-02, 1.043378689E-01
       116, 7.499999865E-01,-2.346500000E-08, 1.994493253E-02, 9.079489195E-02
       117, 1.049999957E+00,-2.346499756E-08, 1.994493253E-02, 7.518184272E-02
       118, 1.499999992E+00,-2.346499964E-08, 1.994493253E-02, 6.287788208E-02
       119, 2.099999885E+00,-2.346499959E-08, 1.994493253E-02, 5.600835541E-02
       120, 3.000000046E+00,-2.346500026E-08, 1.994493268E-02, 5.213806253E-02
       121,-1.500000029E-01,-2.346499996E-08, 2.339603447E-02, 4.337134067E-02
       122, 3.000000109E-01,-2.346500038E-08, 2.339603480E-02, 1.010595863E-01
       123, 4.499999767E-01,-2.346500001E-08, 2.339603445E-02, 1.127934546E-01
       124, 7.499999865E-01,-2.346500000E-08, 2.339603445E-02, 9.529538009E-02
       125, 1.049999957E+00,-2.346499757E-08, 2.339603445E-02, 7.780004635E-02
       126, 1.499999992E+00,-2.346499962E-08, 2.339603445E-02, 6.456483441E-02
       127, 2.099999885E+00,-2.346499957E-08, 2.339603445E-02, 5.708850561E-02
       128, 3.000000046E+00,-2.346500025E-08, 2.339603462E-02, 5.256045821E-02
       129,-1.500000030E-01,-2.346499996E-08, 2.735777003E-02, 4.196655996E-02
       130, 3.000000109E-01,-2.346500038E-08, 2.735777041E-02, 1.110689427E-01
       131, 4.499999767E-01,-2.346500001E-08, 2.735777000E-02, 1.219783928E-01
       132, 7.499999865E-01,-2.346500000E-08, 2.735777000E-02, 1.003802357E-01
       133, 1.049999957E+00,-2.346499757E-08, 2.735777000E-02, 8.061665724E-02
       134, 1.499999992E+00,-2.346499962E-08, 2.735777000E-02, 6.635017675E-02
       135, 2.099999885E+00,-2.346499957E-08, 2.735777000E-02, 5.828503396E-02
       136, 3.000000046E+00,-2.346500025E-08, 2.735777021E-02, 5.307442643E-02
       137,-1.500000031E-01,-2.346499995E-08, 3.190569386E-02, 4.050728685E-02
       138, 3.000000109E-01,-2.346500037E-08, 3.190569430E-02, 1.204767799E-01
       139, 4.499999767E-01,-2.346500001E-08, 3.190569382E-02, 1.315271064E-01
       140, 7.499999865E-01,-2.346500001E-08, 3.190569382E-02, 1.060785664E-01
       141, 1.049999957E+00,-2.346499757E-08, 3.190569382E-02, 8.369354108E-02
