nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1,-1.500000037E-01,-2.346499996E-08, 0.000000000E+00, 5.457096700E-01
         2, 3.000000109E-01,-2.346500038E-08, 0.000000000E+00, 1.019849015E+00
         3, 4.499999767E-01,-2.346500000E-08, 0.000000000E+00, 8.787967556E-01
         4, 7.499999865E-01,-2.346500000E-08, 0.000000000E+00, 6.243733810E-01
         5, 1.049999957E+00,-2.346499757E-08, 0.000000000E+00, 5.258528933E-01
         6, 1.499999992E+00,-2.346499963E-08, 0.000000000E+00, 4.943823301E-01
         7, 2.099999885E+00,-2.346499957E-08, 0.000000000E+00, 4.875876302E-01
         8, 3.000000046E+00,-2.346500025E-08, 0.000000000E+00, 4.924321455E-01
         9,-1.500000022E-01,-2.346499995E-08, 5.000000080E-04, 7.606545337E-01
        10, 3.000000109E-01,-2.346500038E-08, 5.000000149E-04, 1.239096110E+00
        11, 4.499999767E-01,-2.346500001E-08, 5.000000075E-04, 1.098849731E+00
        12, 7.499999865E-01,-2.346500001E-08, 5.000000075E-04, 8.398293156E-01
        13, 1.049999957E+00,-2.346499757E-08, 5.000000075E-04, 7.389735057E-01
        14, 1.499999992E+00,-2.346499963E-08, 5.000000075E-04, 7.074292701E-01
        15, 2.099999885E+00,-2.346499959E-08, 5.000000075E-04, 7.007231929E-01
        16, 3.000000046E+00,-2.346500026E-08, 5.000000112E-04, 7.054419501E-01
        17,-1.500000022E-01,-2.346499995E-08, 1.073981263E-03, 9.030792255E-01
        18, 3.000000109E-01,-2.346500038E-08, 1.073981278E-03, 1.387263175E+00
        19, 4.499999767E-01,-2.346500000E-08, 1.073981262E-03, 1.250220705E+00
        20, 7.499999865E-01,-2.346500000E-08, 1.073981262E-03, 9.831620293E-01
        21, 1.049999957E+00,-2.346499757E-08, 1.073981262E-03, 8.771465028E-01
        22, 1.499999992E+00,-2.346499961E-08, 1.073981262E-03, 8.451559799E-01
        23, 2.099999885E+00,-2.346499957E-08, 1.073981262E-03, 8.386685304E-01
        24, 3.000000046E+00,-2.346500025E-08, 1.073981270E-03, 8.431434802E-01
        25,-1.500000022E-01,-2.346499996E-08, 1.732890214E-03, 1.011105269E+00
        26, 3.000000109E-01,-2.346500038E-08, 1.732890238E-03, 1.496874739E+00
        27, 4.499999767E-01,-2.346500000E-08, 1.732890212E-03, 1.365503885E+00
        28, 7.499999865E-01,-2.346500000E-08, 1.732890212E-03, 1.092210133E+00
        29, 1.049999957E+00,-2.346499756E-08, 1.732890212E-03, 9.803818799E-01
        30, 1.499999992E+00,-2.346499963E-08, 1.732890212E-03, 9.475250339E-01
        31, 2.099999885E+00,-2.346499958E-08, 1.732890212E-03, 9.413407053E-01
        32, 3.000000046E+00,-2.346500026E-08, 1.732890225E-03, 9.455769554E-01
        33,-1.500000022E-01,-2.346499995E-08, 2.489292976E-03, 1.098734304E+00
        34, 3.000000109E-01,-2.346500035E-08, 2.489293010E-03, 1.580926613E+00
        35, 4.499999767E-01,-2.346499999E-08, 2.489292973E-03, 1.457073768E+00
        36, 7.499999865E-01,-2.346499999E-08, 2.489292973E-03, 1.180426747E+00
        37, 1.049999957E+00,-2.346499758E-08, 2.489292973E-03, 1.062734416E+00
        38, 1.499999992E+00,-2.346499962E-08, 2.489292973E-03, 1.028723787E+00
        39, 2.099999885E+00,-2.346499958E-08, 2.489292973E-03, 1.022971248E+00
        40, 3.000000046E+00,-2.346500025E-08, 2.489292992E-03, 1.027051308E+00
        41,-1.500000023E-01,-2.346499995E-08, 3.357614975E-03, 1.173622041E+00
        42, 3.000000109E-01,-2.346500036E-08, 3.357615021E-03, 1.646956763E+00
        43, 4.499999767E-01,-2.346500000E-08, 3.357614971E-03, 1.531879400E+00
        44, 7.499999865E-01,-2.346500000E-08, 3.357614971E-03, 1.255159095E+00
