nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
        74, 3.000000109E-01,-2.346500038E-08, 8.320274889E-03, 1.828609514E+00
        75, 4.499999767E-01,-2.346500000E-08, 8.320274765E-03, 1.737666845E+00
        76, 7.499999865E-01,-2.346500000E-08, 8.320274765E-03, 1.481352695E+00
        77, 1.049999957E+00,-2.346499756E-08, 8.320274765E-03, 1.342419762E+00
        78, 1.499999992E+00,-2.346499963E-08, 8.320274765E-03, 1.306691431E+00
        79, 2.099999885E+00,-2.346499957E-08, 8.320274765E-03, 1.309216015E+00
        80, 3.000000046E+00,-2.346500026E-08, 8.320274827E-03, 1.316187015E+00
        81,-1.500000025E-01,-2.346499996E-08, 1.005136337E-02, 1.467484767E+00
        82, 3.000000109E-01,-2.346500038E-08, 1.005136351E-02, 1.859536667E+00
        83, 4.499999767E-01,-2.346500000E-08, 1.005136336E-02, 1.770875222E+00
        84, 7.499999865E-01,-2.346500000E-08, 1.005136336E-02, 1.530327777E+00
        85, 1.049999957E+00,-2.346499757E-08, 1.005136336E-02, 1.389067056E+00
        86, 1.499999992E+00,-2.346499963E-08, 1.005136336E-02, 1.349694244E+00
        87, 2.099999885E+00,-2.346499958E-08, 1.005136336E-02, 1.353893303E+00
        88, 3.000000046E+00,-2.346500026E-08, 1.005136343E-02, 1.362534556E+00
        89,-1.500000025E-01,-2.346499996E-08, 1.203858814E-02, 1.520247629E+00
        90, 3.000000109E-01,-2.346500038E-08, 1.203858831E-02, 1.889869028E+00
        91, 4.499999767E-01,-2.346500000E-08, 1.203858813E-02, 1.799773128E+00
        92, 7.499999865E-01,-2.346500000E-08, 1.203858813E-02, 1.576196325E+00
        93, 1.049999957E+00,-2.346499757E-08, 1.203858813E-02, 1.434906780E+00
        94, 1.499999992E+00,-2.346499963E-08, 1.203858813E-02, 1.391386741E+00
        95, 2.099999885E+00,-2.346499958E-08, 1.203858813E-02, 1.397157680E+00
        96, 3.000000046E+00,-2.346500026E-08, 1.203858822E-02, 1.407898924E+00
        97,-1.500000026E-01,-2.346499996E-08, 1.431984764E-02, 1.571775441E+00
        98, 3.000000109E-01,-2.346500038E-08, 1.431984784E-02, 1.918301937E+00
        99, 4.499999767E-01,-2.346500000E-08, 1.431984763E-02, 1.824006632E+00
       100, 7.499999865E-01,-2.346500000E-08, 1.431984763E-02, 1.618324269E+00
