nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
        74, 7.499999652E-01,-1.450824697E-01, 1.249999945E-01, 2.282151525E+00
        75, 1.499999992E+00,-1.450824740E-01, 1.249999982E-01, 2.145006166E+00
        76, 2.249999948E+00,-1.450824740E-01, 1.249999982E-01, 2.121233840E+00
        77, 3.000000024E+00,-1.450824740E-01, 1.249999982E-01, 2.134311977E+00
        78, 1.500000114E-01,-1.294626770E-01, 1.249999982E-01, 2.410759050E+00
        79, 3.000000067E-01,-1.294626770E-01, 1.249999982E-01, 2.368632640E+00
        80, 4.499999892E-01,-1.294626809E-01, 1.250000019E-01, 2.313778463E+00
        81, 7.499999652E-01,-1.294626732E-01, 1.249999945E-01, 2.211088533E+00
        82, 1.499999992E+00,-1.294626770E-01, 1.249999982E-01, 2.094353008E+00
        83, 2.249999948E+00,-1.294626770E-01, 1.249999982E-01, 2.096773547E+00
        84, 3.000000024E+00,-1.294626770E-01, 1.249999982E-01, 2.121623332E+00
        85, 1.500000114E-01,-1.146891551E-01, 1.249999982E-01, 2.364951736E+00
        86, 3.000000067E-01,-1.146891551E-01, 1.249999982E-01, 2.266388493E+00
        87, 4.499999892E-01,-1.146891585E-01, 1.250000019E-01, 2.196944289E+00
        88, 7.499999865E-01,-1.146891551E-01, 1.249999982E-01, 2.105688885E+00
        89, 1.499999992E+00,-1.146891551E-01, 1.249999982E-01, 2.046509041E+00
        90, 2.249999948E+00,-1.146891551E-01, 1.249999982E-01, 2.076868386E+00
        91, 3.000000024E+00,-1.146891551E-01, 1.249999982E-01, 2.112021102E+00
        92, 1.500000114E-01,-1.007160574E-01, 1.249999982E-01, 2.150041993E+00
        93, 3.000000067E-01,-1.007160574E-01, 1.249999982E-01, 2.035555235E+00
        94, 4.499999892E-01,-1.007160604E-01, 1.250000019E-01, 1.999318606E+00
        95, 7.499999865E-01,-1.007160574E-01, 1.249999982E-01, 1.974458255E+00
        96, 1.499999992E+00,-1.007160574E-01, 1.249999982E-01, 2.002678237E+00
        97, 2.249999948E+00,-1.007160574E-01, 1.249999982E-01, 2.060842754E+00
        98, 3.000000024E+00,-1.007160574E-01, 1.249999982E-01, 2.104836074E+00
        99, 1.500000114E-01,-8.750001713E-02, 1.249999982E-01, 1.764986418E+00
       100, 3.000000067E-01,-8.750001713E-02, 1.249999982E-01, 1.727676430E+00
       101, 4.499999892E-01,-8.750001974E-02, 1.250000019E-01, 1.758332682E+00
       102, 7.499999865E-01,-8.750001713E-02, 1.249999982E-01, 1.832081366E+00
       103, 1.499999992E+00,-8.750001713E-02, 1.249999982E-01, 1.963475346E+00
       104, 2.249999948E+00,-8.750001713E-02, 1.249999982E-01, 2.048006753E+00
       105, 3.000000024E+00,-8.750001713E-02, 1.249999982E-01, 2.099517096E+00
       106, 1.500000114E-01,-7.500001729E-02, 1.249999982E-01, 1.408412441E+00
       107, 3.000000109E-01,-7.500001841E-02, 1.250000000E-01, 1.440831308E+00
       108, 4.499999767E-01,-7.500001729E-02, 1.249999982E-01, 1.522071120E+00
       109, 7.499999865E-01,-7.500001729E-02, 1.249999982E-01, 1.693064379E+00
       110, 1.499999992E+00,-7.500001729E-02, 1.249999982E-01, 1.929302435E+00
       111, 2.249999948E+00,-7.500001729E-02, 1.249999982E-01, 2.037802022E+00
       112, 3.000000024E+00,-7.500001729E-02, 1.249999982E-01, 2.095640234E+00
       113, 1.500000114E-01,-6.250001832E-02, 1.249999982E-01, 1.195290405E+00
       114, 3.000000109E-01,-6.250001925E-02, 1.250000000E-01, 1.212036832E+00
       115, 4.499999767E-01,-6.250001832E-02, 1.249999982E-01, 1.309307064E+00
       116, 7.499999865E-01,-6.250001832E-02, 1.249999982E-01, 1.561595298E+00
       117, 1.499999992E+00,-6.250001832E-02, 1.249999982E-01, 1.898953298E+00
       118, 2.249999948E+00,-6.250001832E-02, 1.249999982E-01, 2.029414634E+00
       119, 3.000000024E+00,-6.250001832E-02, 1.249999982E-01, 2.092783011E+00
       120, 1.500000114E-01,-5.000001935E-02, 1.249999982E-01, 1.079043743E+00
