obs_mean,obs_up,obs_down,j,f,m,t,b,i
0.99948498708911,0.997218171514475,0.996084763727157,0.990191043233105,0.997218171514475,0.997218171514475,0.997218171514475,0.997218171514475,0.99948498708911
0.821086601365306,0.981123780934563,0.716359721817151,0.677370493933423,0.726787073460474,0.758975854620296,0.768269798476301,0.782097373481577,0.801591987423442
0.690064661151381,0.865969549743086,0.517333314364165,0.587604597177862,0.634754361130278,0.662409511140829,0.727920481247792,0.669209957864735,0.67397027057147
0.63362095334296,0.715226314029834,0.461116288113208,0.528894073794806,0.602565579970455,0.572643614385268,0.709559275093245,0.595538451689086,0.62206019391232
0.624327009486955,0.665809734502782,0.456355975406474,0.467916734837114,0.535921202076175,0.594405043901768,0.660142695566194,0.558816039379993,0.608232618907044
0.635887768917595,0.749681910764291,0.443661808188516,0.49330506927303,0.561082854954628,0.562216262741946,0.687571164019282,0.586471189390544,0.589871412752497
0.6451817127736,0.754442223471026,0.462249695900526,0.54838868773667,0.592138228327133,0.576043837747221,0.683037532870011,0.603698987757773,0.623193601699637
0.664676326715465,0.795924948486853,0.482877717629708,0.620926786125002,0.617526562763049,0.624327009486955,0.692331476726016,0.644048304986283,0.642688215641502
0.695731700087969,0.831513953008629,0.565616486103899,0.730187296822427,0.660142695566194,0.640421400066866,0.727920481247792,0.696865107875287,0.690064661151381
0.680770717295376,0.78549759684353,0.579444061109175,0.731320704609745,0.662409511140829,0.640421400066866,0.727920481247792,0.702532146811875,0.685304348444647
0.677370493933423,0.783230781268895,0.517333314364165,0.757842446832979,0.660142695566194,0.6451817127736,0.764642893556885,0.712959498455198,0.680770717295376
0.657649198434095,0.760109262407614,0.500105515996936,0.718626537391787,0.718626537391787,0.62659382506159,0.717493129604469,0.688931253364063,0.677370493933423
0.631354137768325,0.764642893556885,0.48174430984239,0.656515790646777,0.654248975072142,0.617526562763049,0.697998515662605,0.657649198434095,0.637021176704913
0.619793378337684,0.714092906242516,0.467916734837114,0.601432172183138,0.638154584492231,0.635887768917595,0.680770717295376,0.63362095334296,0.638154584492231
0.595538451689086,0.706159051731292,0.466783327049796,0.569243391023315,0.648581936135554,0.651982159497507,0.656515790646777,0.623193601699637,0.62206019391232
0.579444061109175,0.687571164019282,0.44842212089525,0.55994944716731,0.631354137768325,0.635887768917595,0.635887768917595,0.639287992279548,0.59327163611445
0.577177245534539,0.686437756231964,0.440261584826562,0.547255279949352,0.62659382506159,0.62659382506159,0.627953914406372,0.625460417274273,0.594405043901768
0.576043837747221,0.681904125082694,0.464516511475161,0.543855056587399,0.619793378337684,0.62659382506159,0.619793378337684,0.623193601699637,0.591004820539815
