a	0.5457	0.04995	0.7311	0.0727
b	0.8346	0.07835	1.087	0.10855
c	0.6975	0.06274	0.9527	0.09148
d	0.51793	0.05027	0.7529	0.07367
e	0.5743	0.05001	0.7538	0.07738
f	0.5687	0.04999	0.7385	0.07293
g	0.9254	0.10465	1.1586	0.12015
h	0.9075	0.08245	0.9438	0.09754
i	1.2785	0.12485	1.4174	0.13564
j	1.6378	0.14753	1.7539	0.17833
k	1.9558	0.17278	2.3497	0.25915
