l-1,theta_l-1,theta_l,k,c,w_l-1
0,-1.0,1.0,2.09,8.89,0.003199
1,1.0,3.0,2.08685,8.982467,0.003177
2,3.0,5.0,2.084531,9.065343,0.003153
3,5.0,7.0,2.083043,9.138629,0.003126
4,7.0,9.0,2.082386,9.202324,0.003096
5,9.0,11.0,2.08256,9.256429,0.003064
6,11.0,13.0,2.083564,9.300944,0.003031
7,13.0,15.0,2.0854,9.335867,0.002996
8,15.0,17.0,2.088067,9.361201,0.00296
9,17.0,19.0,2.091564,9.376944,0.002923
10,19.0,21.0,2.095893,9.383096,0.002885
11,21.0,23.0,2.101053,9.379658,0.002847
12,23.0,25.0,2.107043,9.366629,0.002809
13,25.0,27.0,2.113864,9.34401,0.00277
14,27.0,29.0,2.121517,9.3118,0.002732
15,29.0,31.0,2.13,9.27,0.002695
16,31.0,33.0,2.139314,9.218609,0.002658
17,33.0,35.0,2.149459,9.157628,0.002623
18,35.0,37.0,2.160436,9.087056,0.002589
19,37.0,39.0,2.172243,9.006894,0.002556
20,39.0,41.0,2.184881,8.917142,0.002526
21,41.0,43.0,2.19835,8.817798,0.002497
22,43.0,45.0,2.21265,8.708865,0.002471
23,45.0,47.0,2.227483,8.59362,0.002448
24,47.0,49.0,2.241064,8.49174,0.002428
25,49.0,51.0,2.253095,8.406505,0.002411
26,51.0,53.0,2.263576,8.337915,0.002397
27,53.0,55.0,2.272507,8.285969,0.002387
28,55.0,57.0,2.279888,8.250668,0.002382
29,57.0,59.0,2.285719,8.232012,0.00238
30,59.0,61.0,2.29,8.23,0.002383
31,61.0,63.0,2.292731,8.244633,0.002391
32,63.0,65.0,2.293912,8.27591,0.002404
33,65.0,67.0,2.293544,8.323832,0.002424
34,67.0,69.0,2.291625,8.388399,0.002452
35,69.0,71.0,2.288156,8.46961,0.002488
36,71.0,73.0,2.283138,8.567466,0.002533
37,73.0,75.0,2.276569,8.681966,0.002588
38,75.0,77.0,2.269036,8.811257,0.002654
39,77.0,79.0,2.264053,8.944214,0.002732
40,79.0,81.0,2.262206,9.078982,0.002823
41,81.0,83.0,2.263494,9.215563,0.002927
42,83.0,85.0,2.267917,9.353954,0.003046
43,85.0,87.0,2.275476,9.494158,0.00318
44,87.0,89.0,2.28617,9.636173,0.00333
45,89.0,91.0,2.3,9.78,0.003498
46,91.0,93.0,2.316965,9.925639,0.003683
47,93.0,95.0,2.337066,10.073089,0.003882
48,95.0,97.0,2.360302,10.222351,0.004092
49,97.0,99.0,2.386674,10.373424,0.004308
50,99.0,101.0,2.416181,10.52631,0.004527
51,101.0,103.0,2.448823,10.681007,0.004746
52,103.0,105.0,2.484601,10.837516,0.00496
53,105.0,107.0,2.522565,10.993548,0.005165
54,107.0,109.0,2.557016,11.135376,0.005359
55,109.0,111.0,2.587003,11.260711,0.005536
56,111.0,113.0,2.612528,11.369554,0.005694
57,113.0,115.0,2.63359,11.461904,0.005828
58,115.0,117.0,2.65019,11.537762,0.005936
59,117.0,119.0,2.662326,11.597127,0.006012
60,119.0,121.0,2.67,11.64,0.006053
61,121.0,123.0,2.673211,11.66638,0.006058
62,123.0,125.0,2.671959,11.676268,0.006028
63,125.0,127.0,2.666244,11.669663,0.005969
64,127.0,129.0,2.656066,11.646565,0.005885
65,129.0,131.0,2.641426,11.606975,0.005781
66,131.0,133.0,2.622323,11.550893,0.005661
67,133.0,135.0,2.598757,11.478318,0.00553
68,135.0,137.0,2.571619,11.392477,0.005393
69,137.0,139.0,2.546253,11.312731,0.005253
70,139.0,141.0,2.523552,11.242306,0.005116
71,141.0,143.0,2.503514,11.181202,0.004985
72,143.0,145.0,2.48614,11.12942,0.004867
73,145.0,147.0,2.47143,11.086959,0.004764
74,147.0,149.0,2.459383,11.053819,0.004683
75,149.0,151.0,2.45,11.03,0.004626
76,151.0,153.0,2.443281,11.015503,0.004599
77,153.0,155.0,2.439225,11.010327,0.004599
78,155.0,157.0,2.437833,11.014472,0.004624
79,157.0,159.0,2.439105,11.027938,0.004672
80,159.0,161.0,2.443041,11.050726,0.004741
81,161.0,163.0,2.44964,11.082835,0.004829
82,163.0,165.0,2.458903,11.124265,0.004933
83,165.0,167.0,2.470301,11.173723,0.005052
84,167.0,169.0,2.480664,11.223439,0.005182
85,169.0,171.0,2.489463,11.27212,0.005322
86,171.0,173.0,2.496698,11.319767,0.005469
87,173.0,175.0,2.50237,11.366378,0.005621
88,175.0,177.0,2.506477,11.411954,0.005776
89,177.0,179.0,2.50902,11.456494,0.005932
90,179.0,181.0,2.51,11.5,0.006087
91,181.0,183.0,2.509416,11.542471,0.006237
92,183.0,185.0,2.507268,11.583906,0.006384
93,185.0,187.0,2.503555,11.624306,0.006527
94,187.0,189.0,2.49828,11.663671,0.006666
95,189.0,191.0,2.49144,11.702001,0.006799
96,191.0,193.0,2.483036,11.739296,0.006929
97,193.0,195.0,2.473068,11.775556,0.007053
98,195.0,197.0,2.461817,11.810299,0.007173
99,197.0,199.0,2.450961,11.840635,0.007288
100,199.0,201.0,2.440779,11.866083,0.007397
101,201.0,203.0,2.431273,11.886643,0.007501
102,203.0,205.0,2.422442,11.902315,0.007599
103,205.0,207.0,2.414286,11.913098,0.007692
104,207.0,209.0,2.406806,11.918993,0.007778
105,209.0,211.0,2.4,11.92,0.007859
106,211.0,213.0,2.393869,11.916119,0.007933
107,213.0,215.0,2.388414,11.907349,0.008001
108,215.0,217.0,2.383634,11.893691,0.008063
109,217.0,219.0,2.379529,11.875145,0.008118
110,219.0,221.0,2.376098,11.851711,0.008166
111,221.0,223.0,2.373343,11.823388,0.008207
112,223.0,225.0,2.371264,11.790177,0.008241
113,225.0,227.0,2.36973,11.752707,0.008268
114,227.0,229.0,2.367972,11.71475,0.008287
115,229.0,231.0,2.36586,11.676936,0.008298
116,231.0,233.0,2.363395,11.639264,0.008302
117,233.0,235.0,2.360577,11.601734,0.008298
118,235.0,237.0,2.357405,11.564347,0.008286
119,237.0,239.0,2.353879,11.527102,0.008266
120,239.0,241.0,2.35,11.49,0.008237
121,241.0,243.0,2.345768,11.45304,0.0082
122,243.0,245.0,2.341182,11.416222,0.008156
123,245.0,247.0,2.336242,11.379547,0.008106
124,247.0,249.0,2.330949,11.343014,0.008052
125,249.0,251.0,2.325303,11.306624,0.007994
126,251.0,253.0,2.319303,11.270375,0.007934
127,253.0,255.0,2.31295,11.23427,0.007874
128,255.0,257.0,2.306335,11.198882,0.007814
129,257.0,259.0,2.300007,11.167663,0.007756
130,259.0,261.0,2.294059,11.14119,0.007702
131,261.0,263.0,2.288489,11.119462,0.007652
132,263.0,265.0,2.283298,11.102479,0.007609
133,265.0,267.0,2.278486,11.090241,0.007572
134,267.0,269.0,2.274054,11.082748,0.007545
135,269.0,271.0,2.27,11.08,0.007527
136,271.0,273.0,2.266325,11.081997,0.00752
137,273.0,275.0,2.26303,11.08874,0.007523
138,275.0,277.0,2.260113,11.100227,0.007534
139,277.0,279.0,2.257575,11.116459,0.007552
140,279.0,281.0,2.255416,11.137437,0.007575
141,281.0,283.0,2.253637,11.16316,0.007602
142,283.0,285.0,2.252236,11.193627,0.007631
143,285.0,287.0,2.251149,11.227648,0.007661
144,287.0,289.0,2.249985,11.25807,0.00769
145,289.0,291.0,2.248677,11.283702,0.007717
146,291.0,293.0,2.247227,11.304543,0.00774
147,293.0,295.0,2.245635,11.320593,0.007758
148,295.0,297.0,2.243899,11.331853,0.007769
149,297.0,299.0,2.242021,11.338322,0.007772
150,299.0,301.0,2.24,11.34,0.007766
151,301.0,303.0,2.237836,11.336888,0.007748
152,303.0,305.0,2.23553,11.328985,0.00772
153,305.0,307.0,2.23308,11.316291,0.007681
154,307.0,309.0,2.230488,11.298807,0.007631
155,309.0,311.0,2.227754,11.276533,0.00757
156,311.0,313.0,2.224876,11.249467,0.0075
157,313.0,315.0,2.221856,11.217611,0.007419
158,315.0,317.0,2.218681,11.18083,0.007328
159,317.0,319.0,2.215285,11.138316,0.007228
160,319.0,321.0,2.211655,11.089933,0.007118
161,321.0,323.0,2.207791,11.035682,0.006999
162,323.0,325.0,2.203693,10.975564,0.00687
163,325.0,327.0,2.199363,10.909577,0.006733
164,327.0,329.0,2.194798,10.837723,0.006587
165,329.0,331.0,2.19,10.76,0.006432
166,331.0,333.0,2.184968,10.676409,0.006268
167,333.0,335.0,2.179703,10.586951,0.006097
168,335.0,337.0,2.174204,10.491624,0.005917
169,337.0,339.0,2.168472,10.390429,0.00573
170,339.0,341.0,2.162506,10.283367,0.005535
171,341.0,343.0,2.156307,10.170436,0.005332
172,343.0,345.0,2.149873,10.051638,0.005122
173,345.0,347.0,2.143207,9.926971,0.004905
174,347.0,349.0,2.136307,9.796436,0.00468
175,349.0,351.0,2.129173,9.660033,0.004449
176,351.0,353.0,2.121805,9.517763,0.004212
177,353.0,355.0,2.114204,9.369624,0.003968
178,355.0,357.0,2.10637,9.215617,0.003718
179,357.0,359.0,2.098302,9.055743,0.003461
