l-1,theta_l-1,theta_l,k,c,w_l-1
0,-15.0,15.0,2.09,8.89,0.04821
1,15.0,45.0,2.13,9.27,0.040608
2,45.0,75.0,2.29,8.23,0.035907
3,75.0,105.0,2.3,9.78,0.052711
4,105.0,135.0,2.67,11.64,0.091218
5,135.0,165.0,2.45,11.03,0.069714
6,165.0,195.0,2.51,11.5,0.091718
7,195.0,225.0,2.4,11.92,0.118424
8,225.0,255.0,2.35,11.49,0.124125
9,255.0,285.0,2.27,11.08,0.113423
10,285.0,315.0,2.24,11.34,0.117023
11,315.0,345.0,2.19,10.76,0.096919
