,0.0,15.0,30.0,45.0,60.0,75.0,90.0,105.0,120.0,135.0,150.0,165.0,180.0,195.0,210.0,225.0,240.0,255.0,270.0,285.0,300.0,315.0,330.0,345.0
5.5,0.011799,0.011031,0.011216,0.012485,0.013507,0.012387,0.010449,0.008432,0.007113,0.007544,0.008328,0.008135,0.007575,0.007258,0.007212,0.007437,0.007821,0.00823,0.008454,0.008298,0.008143,0.008342,0.008949,0.010071
8.5,0.011113,0.010935,0.011181,0.011817,0.012157,0.012065,0.01167,0.011325,0.010824,0.010907,0.011031,0.010939,0.010645,0.010201,0.009911,0.010002,0.010247,0.010411,0.01042,0.010239,0.010082,0.01015,0.010433,0.01085
11.5,0.007041,0.007485,0.007528,0.006963,0.006323,0.007182,0.008462,0.009812,0.010517,0.010201,0.00964,0.009717,0.009915,0.009733,0.009459,0.009366,0.009304,0.009136,0.008968,0.008914,0.008878,0.008792,0.008601,0.008127
14.5,0.003189,0.003762,0.003635,0.002695,0.001987,0.002748,0.004209,0.005775,0.006855,0.006502,0.005874,0.006027,0.006475,0.006694,0.006672,0.006498,0.006224,0.005913,0.005733,0.005828,0.005921,0.005773,0.005336,0.004501
17.5,0.001057,0.001422,0.001288,0.000695,0.000379,0.000683,0.001456,0.002322,0.00299,0.002832,0.002521,0.002637,0.00299,0.003362,0.003539,0.003401,0.003124,0.002877,0.002777,0.002923,0.003057,0.002939,0.002548,0.001885
20.5,0.000259,0.000409,0.000338,0.00012,4.4e-05,0.00011,0.000351,0.000631,0.000855,0.000831,0.000758,0.000809,0.00097,0.00123,0.001414,0.001347,0.00118,0.001057,0.001026,0.001133,0.001232,0.001169,0.000945,0.000603
23.5,4.7e-05,9e-05,6.6e-05,1.4e-05,3e-06,1.1e-05,5.8e-05,0.000114,0.000156,0.000161,0.000158,0.000172,0.000218,0.000325,0.000424,0.000403,0.000335,0.000293,0.000289,0.00034,0.000388,0.000365,0.000273,0.000148
