l-1,theta_l-1,theta_l,k,c,w_l-1
127,126.5,127.5,2.661713,11.660176,0.002965
128,127.5,128.5,2.656066,11.646565,0.002943
129,128.5,129.5,2.649304,11.628832,0.002918
130,129.5,130.5,2.641426,11.606975,0.002891
131,130.5,131.5,2.632432,11.580996,0.002861
132,131.5,132.5,2.622323,11.550893,0.002831
133,132.5,133.5,2.611098,11.516667,0.002798
134,133.5,134.5,2.598757,11.478318,0.002765
135,134.5,135.5,2.5853,11.435846,0.002731
136,135.5,136.5,2.571619,11.392477,0.002696
137,136.5,137.5,2.558603,11.351439,0.002661
138,137.5,138.5,2.546253,11.312731,0.002626
139,138.5,139.5,2.53457,11.276353,0.002592
140,139.5,140.5,2.523552,11.242306,0.002558
141,140.5,141.5,2.5132,11.210589,0.002525
142,141.5,142.5,2.503514,11.181202,0.002493
143,142.5,143.5,2.494494,11.154146,0.002462
144,143.5,144.5,2.48614,11.12942,0.002433
145,144.5,145.5,2.478452,11.107024,0.002407
146,145.5,146.5,2.47143,11.086959,0.002382
147,146.5,147.5,2.465073,11.069223,0.00236
148,147.5,148.5,2.459383,11.053819,0.002341
149,148.5,149.5,2.454359,11.040744,0.002326
150,149.5,150.5,2.45,11.03,0.002313
151,150.5,151.5,2.446307,11.021586,0.002304
152,151.5,152.5,2.443281,11.015503,0.002299
153,152.5,153.5,2.44092,11.011749,0.002298
154,153.5,154.5,2.439225,11.010327,0.002299
155,154.5,155.5,2.438196,11.011234,0.002304
156,155.5,156.5,2.437833,11.014472,0.002312
157,156.5,157.5,2.438136,11.02004,0.002323
158,157.5,158.5,2.439105,11.027938,0.002336
159,158.5,159.5,2.44074,11.038167,0.002352
160,159.5,160.5,2.443041,11.050726,0.002371
161,160.5,161.5,2.446008,11.065615,0.002391
162,161.5,162.5,2.44964,11.082835,0.002415
163,162.5,163.5,2.453939,11.102385,0.00244
164,163.5,164.5,2.458903,11.124265,0.002467
165,164.5,165.5,2.464534,11.148476,0.002495
166,165.5,166.5,2.470301,11.173723,0.002526
167,166.5,167.5,2.475678,11.19871,0.002558
168,167.5,168.5,2.480664,11.223439,0.002591
169,168.5,169.5,2.485259,11.247909,0.002625
170,169.5,170.5,2.489463,11.27212,0.002661
171,170.5,171.5,2.493276,11.296073,0.002697
