l-1,theta_l-1,theta_l,k,c,w_l-1
127,253.0,255.0,2.31295,11.23427,0.032316
128,255.0,257.0,2.306335,11.198882,0.028351
129,257.0,259.0,2.300007,11.167663,0.024387
130,259.0,261.0,2.294059,11.14119,0.020422
131,261.0,263.0,2.288489,11.119462,0.016458
132,263.0,265.0,2.283298,11.102479,0.012493
133,265.0,267.0,2.278486,11.090241,0.008529
134,267.0,269.0,2.274054,11.082748,0.004564
135,269.0,271.0,2.27,11.08,0.0006
136,271.0,273.0,2.266325,11.081997,0.0006
137,273.0,275.0,2.26303,11.08874,0.0006
138,275.0,277.0,2.260113,11.100227,0.0006
139,277.0,279.0,2.257575,11.116459,0.0006
140,279.0,281.0,2.255416,11.137437,0.0006
141,281.0,283.0,2.253637,11.16316,0.0006
142,283.0,285.0,2.252236,11.193627,0.0006
143,285.0,287.0,2.251149,11.227648,0.0006
144,287.0,289.0,2.249985,11.25807,0.0006
145,289.0,291.0,2.248677,11.283702,0.0006
146,291.0,293.0,2.247227,11.304543,0.0006
147,293.0,295.0,2.245635,11.320593,0.0006
148,295.0,297.0,2.243899,11.331853,0.0006
149,297.0,299.0,2.242021,11.338322,0.0006
150,299.0,301.0,2.24,11.34,0.0006
151,301.0,303.0,2.237836,11.336888,0.0006
152,303.0,305.0,2.23553,11.328985,0.0006
153,305.0,307.0,2.23308,11.316291,0.0006
154,307.0,309.0,2.230488,11.298807,0.0006
155,309.0,311.0,2.227754,11.276533,0.0006
156,311.0,313.0,2.224876,11.249467,0.0006
157,313.0,315.0,2.221856,11.217611,0.0006
158,315.0,317.0,2.218681,11.18083,0.0006
159,317.0,319.0,2.215285,11.138316,0.0006
160,319.0,321.0,2.211655,11.089933,0.0006
161,321.0,323.0,2.207791,11.035682,0.0006
162,323.0,325.0,2.203693,10.975564,0.0006
163,325.0,327.0,2.199363,10.909577,0.0006
164,327.0,329.0,2.194798,10.837723,0.0006
165,329.0,331.0,2.19,10.76,0.0006
166,331.0,333.0,2.184968,10.676409,0.0006
167,333.0,335.0,2.179703,10.586951,0.0006
168,335.0,337.0,2.174204,10.491624,0.0006
169,337.0,339.0,2.168472,10.390429,0.0006
170,339.0,341.0,2.162506,10.283367,0.0006
171,341.0,343.0,2.156307,10.170436,0.0006
172,343.0,345.0,2.149873,10.051638,0.0006
173,345.0,347.0,2.143207,9.926971,0.0006
174,347.0,349.0,2.136307,9.796436,0.0006
175,349.0,351.0,2.129173,9.660033,0.0006
176,351.0,353.0,2.121805,9.517763,0.0006
177,353.0,355.0,2.114204,9.369624,0.0006
178,355.0,357.0,2.10637,9.215617,0.0006
179,357.0,359.0,2.098302,9.055743,0.0006
