obs_mean,obs_up,obs_down,j,f,m,t,b,i
1.00006298011524,0.998555955929145,0.998555955929145,0.998555955929145,0.997048931743051,0.994336288208081,0.995843312394175,0.995843312394175,0.998555955929145
0.821932721318873,0.943097465880869,0.700767976756877,0.853278824389638,0.830372056761002,0.80625966978349,0.807465289132366,0.814699005225619,0.820425697132778
0.573876540287722,0.734826723362612,0.419858668468867,0.744773082990836,0.6835879010354,0.570862491915533,0.589549591823105,0.617881646521681,0.576589183822692
0.586535543450916,0.760446134526218,0.415639000747802,0.71644102829226,0.672134517221082,0.518116645402227,0.575082159636598,0.589549591823105,0.578096208008787
0.58532992410204,0.776119186061601,0.392732233119166,0.710714336385101,0.660681133406764,0.482550874610397,0.55820348875234,0.569656872566658,0.552476796845181
0.58804256763701,0.793299261783078,0.384292897677037,0.68630054457037,0.653748822150729,0.474111539168268,0.550969772659086,0.563930180659499,0.573876540287722
0.593769259544169,0.800532977876331,0.385498517025913,0.68630054457037,0.640788414150317,0.472604514982174,0.519623669588321,0.555189440380151,0.570862491915533
0.595276283730264,0.810479337504555,0.382785873490943,0.682080876849306,0.64802213024357,0.485564922982586,0.545243080751927,0.56091613228731,0.559409108101215
0.603715619172393,0.836098748668161,0.374346538048814,0.689314592942559,0.640788414150317,0.488277566517556,0.516911026053351,0.553983821031275,0.572369516101628
0.603715619172393,0.836098748668161,0.36711282195556,0.676354184942147,0.636568746429253,0.49551128261081,0.548257129124116,0.563930180659499,0.568149848380563
0.606428262707363,0.840318416389225,0.371332489676625,0.682080876849306,0.640788414150317,0.486770542331462,0.519623669588321,0.55820348875234,0.568149848380563
0.616676027172805,0.859005516296797,0.372839513862719,0.676354184942147,0.639281389964223,0.492497234238621,0.549462748472992,0.565135800008374,0.573876540287722
0.603715619172393,0.840318416389225,0.36982546549053,0.669421873686112,0.625115362614934,0.485564922982586,0.499730950331874,0.553983821031275,0.586535543450916
0.617881646521681,0.861718159831767,0.378566205769878,0.672134517221082,0.650734773778541,0.485564922982586,0.546750104938022,0.566642824194469,0.59075521117198
