obs_mean,obs_up,obs_down,j,f,m,t,b,i
0.995600498957287,0.997128271130934,0.997128271130934,0.995600498957287,0.997128271130934,0.997128271130934,0.997128271130934,0.995600498957287,0.995600498957287
0.487157919567451,0.645740671192045,0.32063075263989,0.636574038150161,0.577907586682103,0.443769189835866,0.368297244457687,0.542463272253485,0.51618559086675
0.49326900826204,0.650323987712987,0.346908434026625,0.53940772790619,0.562629864945629,0.414741518536567,0.456296921659774,0.466991326875306,0.51618559086675
0.484102375220156,0.656435076407576,0.32063075263989,0.570268725813866,0.570268725813866,0.399158242365364,0.456296921659774,0.445296962009514,0.490213463914745
0.473102415569895,0.636574038150161,0.305047476468687,0.522602233996069,0.55651877625104,0.405269331059953,0.436130328967629,0.445296962009514,0.474630187743542
0.488685691741098,0.668962808231485,0.306575248642335,0.533296639211601,0.551629905295369,0.382352748455243,0.419324835057509,0.465463554701658,0.491741236088393
0.477685732090837,0.661323947363248,0.298936387774098,0.536352183558895,0.550102133121721,0.382352748455243,0.425435923752098,0.459352466007069,0.499380096956629
0.474630187743542,0.64879621553934,0.294353071253156,0.522602233996069,0.547046588774427,0.368297244457687,0.414741518536567,0.433074784620335,0.465463554701658
0.462408010354364,0.636574038150161,0.286714210384919,0.494796780435687,0.55651877625104,0.38999160932348,0.409852647580895,0.488685691741098,0.479213504264485
0.471574643396248,0.653379532060282,0.295880843426803,0.537879955732543,0.545518816600779,0.399158242365364,0.419324835057509,0.500907869130277,0.471574643396248
0.473102415569895,0.667435036057837,0.286714210384919,0.497852324782982,0.525657778343364,0.403741558886306,0.433074784620335,0.505491185651219,0.499380096956629
0.49326900826204,0.685768302141605,0.301991932121393,0.518018917475127,0.521074461822422,0.414741518536567,0.459352466007069,0.518018917475127,0.49326900826204
0.502435641303924,0.701351578312808,0.298936387774098,0.511602274345808,0.545518816600779,0.411380419754543,0.425435923752098,0.511602274345808,0.479213504264485
